Database,Project ID,PMID,PubMed URL,PDC URL,Title,Total Samples,preCancer,Tumor samples,Treated,Normal samples,Healthy treated,Patients,Paired,Proteins UniProt,Proteins Ensembl,Pool status,QC in result,Female,Male,Organ,Disease,TMT
PDC,PDC000295,29718670,https://pubmed.ncbi.nlm.nih.gov/29718670/,https://pdc.cancer.gov/pdc/study/PDC000295,Evaluation of NCI-7 Cell Line Panel as a Reference Material for Clinical Proteomics,9,0,0,0,0,0,0,0,5704,5712,no_pool,0,0,0,Lung; Breast; Colon; Blood,Multiple cancer cell lines,TMT 10-plex
PDC,PDC000116,31031003,https://pubmed.ncbi.nlm.nih.gov/31031003/,https://pdc.cancer.gov/pdc/study/PDC000116,Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities,197,0,97,0,100,0,101,96,7401,7414,pool_result_col_only,0,58,42,Colon,COAD,TMT 10-plex
PDC,PDC000198,31585088,https://pubmed.ncbi.nlm.nih.gov/31585088/,https://pdc.cancer.gov/pdc/study/PDC000198,Integrated Proteogenomic Characterization of HBV-Related Hepatocellular Carcinoma,330,0,165,0,165,0,170,160,10224,10242,no_pool,0,32,128,Liver,Hepatocellular carcinoma,TMT 11-plex
PDC,PDC000127,31675502,https://pubmed.ncbi.nlm.nih.gov/31675502/,https://pdc.cancer.gov/pdc/study/PDC000127,Integrated Proteogenomic Characterization of Clear Cell Renal Cell Carcinoma,199,0,110,0,84,0,110,84,9940,9960,pool_patients_only,8,30,80,Kidney,ccRCC,TMT 10-plex
PDC,PDC000325,31988290,https://pubmed.ncbi.nlm.nih.gov/31988290/,https://pdc.cancer.gov/pdc/study/PDC000325,Microscaled proteogenomic methods for precision oncology,35,0,35,0,0,0,14,0,8824,8838,no_pool,0,14,0,Breast,Breast invasive carcinoma,TMT 11-plex
PDC,PDC000125,32059776,https://pubmed.ncbi.nlm.nih.gov/32059776/,https://pdc.cancer.gov/pdc/study/PDC000125,Proteogenomic Characterization of Endometrial Carcinoma,153,0,104,0,49,0,122,30,10740,10760,no_pool,0,104,0,Uterus,Endometrial carcinoma (EC),TMT 10-plex
PDC,PDC000110,32529193,https://pubmed.ncbi.nlm.nih.gov/32529193/,https://pdc.cancer.gov/pdc/study/PDC000110,"Proteogenomic Characterization of Ovarian HGSC Implicates Mitotic Kinases, Replication Stress in Observed Chromosomal Instability",108,0,85,0,23,0,95,13,8499,8510,pool_patients_only,9,87,0,Ovary; Fallopian tube,HGSOC,TMT 10-plex
PDC,PDC000118,32529193,https://pubmed.ncbi.nlm.nih.gov/32529193/,https://pdc.cancer.gov/pdc/study/PDC000118,"Proteogenomic Characterization of Ovarian HGSC Implicates Mitotic Kinases, Replication Stress in Observed Chromosomal Instability",103,0,84,0,19,0,93,10,8802,8811,no_pool,0,87,0,Ovary; Fallopian tube,HGSC,TMT 10-plex
PDC,PDC000120,33212010,https://pubmed.ncbi.nlm.nih.gov/33212010/,https://pdc.cancer.gov/pdc/study/PDC000120,Proteogenomic Landscape of Breast Cancer Tumorigenesis and Targeted Therapy,144,0,125,0,18,0,126,18,10465,10486,pool_patients_only,0,112,0,Breast,Breast invasive carcinoma (BRCA),TMT 10-plex
PDC,PDC000180,33242424,https://pubmed.ncbi.nlm.nih.gov/33242424/,https://pdc.cancer.gov/pdc/study/PDC000180,Integrated Proteogenomic Characterization across Major Histological Types of Pediatric Brain Cancer,225,0,225,0,0,0,205,0,7144,7152,no_pool,0,83,115,Brain,Pediatric/AYA Brain Tumors,TMT 11-plex
PDC,PDC000221,33417831,https://pubmed.ncbi.nlm.nih.gov/33417831/,https://pdc.cancer.gov/pdc/study/PDC000221,Proteogenomic insights into the biology and treatment of HPV-negative head and neck squamous cell carcinoma,186,0,111,0,72,0,115,68,10227,10244,pool_in_annotation,8,15,97,Head and neck,Head and Neck Squamous Cell Carcinoma,TMT 11-plex
PDC,PDC000204,33577785,https://pubmed.ncbi.nlm.nih.gov/33577785/,https://pdc.cancer.gov/pdc/study/PDC000204,Proteogenomic and metabolomic characterization of human glioblastoma,110,0,100,0,10,0,110,0,10943,10968,no_pool,0,49,61,Brain,Glioblastoma multiforme (GBM),TMT 11-plex
PDC,PDC000315,34171263,https://pubmed.ncbi.nlm.nih.gov/34171263/,https://pdc.cancer.gov/pdc/study/PDC000315,The AML Microenvironment Catalyzes a Step-wise Evolution to Gilteritinib Resistance,0,0,0,0,0,0,0,0,6549,6557,no_pool,0,0,0,Hematopoietic system,Acute myeloid leukemia,TMT 11-plex
PDC,PDC000316,34171263,https://pubmed.ncbi.nlm.nih.gov/34171263/,https://pdc.cancer.gov/pdc/study/PDC000316,The AML Microenvironment Catalyzes a Step-wise Evolution to Gilteritinib Resistance,0,0,0,0,0,0,0,0,6919,6927,pool_patients_only,0,0,0,Hematopoietic system,Acute Myeloid Leukemia,TMT 11-plex
PDC,PDC000317,34171263,https://pubmed.ncbi.nlm.nih.gov/34171263/,https://pdc.cancer.gov/pdc/study/PDC000317,The AML Microenvironment Catalyzes a Step-wise Evolution to Gilteritinib Resistance,0,0,0,0,0,0,0,0,6187,6194,no_pool,0,0,0,Hematopoietic system,Acute Myeloid Leukemia,TMT 11-plex
PDC,PDC000234,34358469,https://pubmed.ncbi.nlm.nih.gov/34358469/,https://pdc.cancer.gov/pdc/study/PDC000234,A Proteogenomic Portrait of Lung Squamous Cell Carcinoma,212,0,110,0,102,0,110,102,11453,11476,pool_patients_only,0,22,88,Lung,Lung squamous cell carcinoma,TMT 11-plex
PDC,PDC000270,34534465,https://pubmed.ncbi.nlm.nih.gov/34534465/,https://pdc.cancer.gov/pdc/study/PDC000270,Proteogenomic characterization of pancreatic ductal adenocarcinoma,242,0,149,0,91,0,158,83,10088,10109,pool_in_annotation,6,68,85,Pancreas,Pancreatic ductal adenocarcinoma,TMT 11-plex
PDC,PDC000398,35896960,https://pubmed.ncbi.nlm.nih.gov/35896960/,https://pdc.cancer.gov/pdc/study/PDC000398,Proteomic and phosphoproteomic measurements enhance ability to predict ex vivo drug response in AML,16,0,16,0,0,0,16,0,7002,7010,no_pool,0,6,10,Hematopoietic and reticuloendothelial systems,Acute myeloid leukemia,TMT 10-plex
PDC,PDC000400,35896960,https://pubmed.ncbi.nlm.nih.gov/35896960/,https://pdc.cancer.gov/pdc/study/PDC000400,Proteomic and phosphoproteomic measurements enhance ability to predict ex vivo drug response in AML,16,0,16,0,0,0,4,0,6472,6481,no_pool,0,3,1,Hematopoietic and reticuloendothelial systems,Acute myeloid leukemia,TMT 10-plex
PDC,PDC000402,35896960,https://pubmed.ncbi.nlm.nih.gov/35896960/,https://pdc.cancer.gov/pdc/study/PDC000402,Proteomic and phosphoproteomic measurements enhance ability to predict ex vivo drug response in AML,19,0,19,0,0,0,19,0,6325,6333,no_pool,0,12,7,Hematopoietic and reticuloendothelial systems,Acute myeloid leukemia,TMT 11-plex
PDC,PDC000408,36001024,https://pubmed.ncbi.nlm.nih.gov/36001024/,https://pdc.cancer.gov/pdc/study/PDC000408,Proteogenomic markers of chemotherapy resistance and response in triple negative breast cancer,72,0,72,0,0,0,56,0,8826,8841,no_pool,0,56,0,Breast,Breast invasive carcinoma,TMT 11-plex
PDC,PDC000393,36266629,https://pubmed.ncbi.nlm.nih.gov/36266629/,https://pdc.cancer.gov/pdc/study/PDC000393,Neoplastic cell enrichment of tumor tissues using coring and laser microdissection for proteomic and genomic analyses of pancreatic ductal adenocarcinoma,9,0,6,0,3,0,6,3,7392,7409,pool_patients_only,0,5,1,Pancreas,Pancreatic ductal adenocarcinoma,TMT 10-plex
PDC,PDC000434,36384096,https://pubmed.ncbi.nlm.nih.gov/36384096/,https://pdc.cancer.gov/pdc/study/PDC000434,"Proteogenomic analysis of lung adenocarcinoma reveals tumor heterogeneity, survival determinants, and therapeutically relevant pathways",100,0,100,0,0,0,100,0,8991,9005,pool_patients_only,0,42,45,Lung,Lung adenocarcinoma,TMT 11-plex
PDC,PDC000248,36550235,https://pubmed.ncbi.nlm.nih.gov/36550235/,https://pdc.cancer.gov/pdc/study/PDC000248,Proteogenomic landscape of human pancreatic ductal adenocarcinoma in an Asian population reveals tumor cell-enriched and immune-rich subtypes,153,0,153,0,0,0,153,0,10476,10496,no_pool,0,67,86,Pancreas,Pancreatic ductal adenocarcinoma,TMT 10-plex
PDC,PDC000356,36898552,https://pubmed.ncbi.nlm.nih.gov/36898552/,https://pdc.cancer.gov/pdc/study/PDC000356,Refining Classification of Cholangiocarcinoma Subtypes via Proteogenomic Integration Reveals New Therapeutic Prospects,206,0,104,0,101,0,105,101,8251,8275,no_pool,0,37,67,Liver,Cholangiocarcinoma,TMT 10-plex
PDC,PDC000358,37541199,https://pubmed.ncbi.nlm.nih.gov/37541199/,https://pdc.cancer.gov/pdc/study/PDC000358,Proteogenomic analysis of chemo-refractory high-grade serous ovarian cancer,20,0,20,0,0,0,20,0,6727,6735,no_pool,0,20,0,Ovary,High-Grade Serous Ovarian Carcinoma,TMT 11-plex
PDC,PDC000360,37541199,https://pubmed.ncbi.nlm.nih.gov/37541199/,https://pdc.cancer.gov/pdc/study/PDC000360,Proteogenomic analysis of chemo-refractory high-grade serous ovarian cancer,160,0,158,0,0,0,160,0,9213,9230,no_pool,0,160,0,Ovary,High-Grade Serous Ovarian Carcinoma,TMT 11-plex
PDC,PDC000362,37541199,https://pubmed.ncbi.nlm.nih.gov/37541199/,https://pdc.cancer.gov/pdc/study/PDC000362,Proteogenomic analysis of chemo-refractory high-grade serous ovarian cancer,65,0,64,0,0,0,65,0,8064,8078,no_pool,0,65,0,Ovary,High-Grade Serous Ovarian Carcinoma,TMT 11-plex
PDC,PDC000439,37567170,https://pubmed.ncbi.nlm.nih.gov/37567170/,https://pdc.cancer.gov/pdc/study/PDC000439,Proteogenomic insights suggest druggable pathways in endometrial carcinoma,158,0,138,0,20,0,158,0,10906,10924,no_pool,0,138,0,Uterus,Endometrial carcinoma,TMT 11-plex
PDC,PDC000514,38215747,https://pubmed.ncbi.nlm.nih.gov/38215747/,https://pdc.cancer.gov/pdc/study/PDC000514,Integrated proteogenomic characterization of glioblastoma evolution,216,0,214,0,0,0,111,0,11276,11313,no_pool,0,39,70,Brain,Glioblastoma,TMT 11-plex
PDC,PDC000477,38232702,https://pubmed.ncbi.nlm.nih.gov/38232702/,https://pdc.cancer.gov/pdc/study/PDC000477,Mapping the proteogenomic landscape enables prediction of drug response in acute myeloid leukemia,189,0,186,0,0,0,189,0,9112,9138,no_pool,0,94,92,Hematopoietic and reticuloendothelial system,Acute myeloid leukemia,TMT 11-plex
PDC,PDC000585,38480868,https://pubmed.ncbi.nlm.nih.gov/38480868/,https://pdc.cancer.gov/pdc/study/PDC000585,Proteogenomic analysis of enriched HGSOC tumor epithelium identifies prognostic signatures and therapeutic vulnerabilities,71,0,70,0,0,0,71,0,9502,9527,pool_patients_only,0,70,0,Ovary,Ovarian cancer,TMT 11-plex
PDC,PDC000464,38703764,https://pubmed.ncbi.nlm.nih.gov/38703764/,https://pdc.cancer.gov/pdc/study/PDC000464,Comprehensive proteogenomic characterization of rare kidney tumors,60,0,41,0,19,0,41,19,8298,8314,pool_patients_only,0,17,24,Kidney,Kidney cancer,TMT 11-plex
PDC,PDC000446,38981438,https://pubmed.ncbi.nlm.nih.gov/38981438/,https://pdc.cancer.gov/pdc/study/PDC000446,Multi-scale signaling and tumor evolution in high-grade gliomas,149,0,141,0,8,0,117,1,11126,11150,pool_result_col_only,0,43,74,Brain,Glioblastoma; Gliomas; Astrocytoma; Gliosarcoma; Meningioma; brain metastases,TMT 11-plex
PDC,PDC000519,39842500,https://pubmed.ncbi.nlm.nih.gov/39842500/,https://pdc.cancer.gov/pdc/study/PDC000519,Integrated multi-omics analyses of oral squamous cell carcinoma reveal precision patient stratification and personalized treatment strategies,210,0,105,0,105,0,105,105,11824,11867,no_pool,0,7,98,Oral cavity,Oral squamous cell carcinoma,TMT 10-plex
PDC,PDC000342,40087745,https://pubmed.ncbi.nlm.nih.gov/40087745/,https://pdc.cancer.gov/pdc/study/PDC000342,Proteogenomic characterization of molecular and cellular targets for treatment-resistant subtypes in locally advanced cervical cancers,150,0,150,0,0,0,150,0,11358,11396,no_pool,0,150,0,Cervix,Cervical cancer,TMT 11-plex
PDC,PDC000588,40185092,https://pubmed.ncbi.nlm.nih.gov/40185092/,https://pdc.cancer.gov/pdc/study/PDC000588,Proteogenomic characterization of non-functional pancreatic neuroendocrine tumors unravels clinically relevant subgroups,88,0,37,0,37,0,47,37,10016,10047,no_pool,0,19,18,Pancreas,Neuroendocrine Neoplasms,TMT 16-plex
PDC,PDC000590,40185092,https://pubmed.ncbi.nlm.nih.gov/40185092/,https://pdc.cancer.gov/pdc/study/PDC000590,Proteogenomic characterization of non-functional pancreatic neuroendocrine tumors unravels clinically relevant subgroups,230,0,115,0,115,0,115,115,10776,10812,no_pool,0,61,54,Pancreas,Neuroendocrine Neoplasms,TMT 11-plex
PDC,PDC000582,40480221,https://pubmed.ncbi.nlm.nih.gov/40480221/,https://pdc.cancer.gov/pdc/study/PDC000582,Proteogenomic analysis of the CALGB 40601 (Alliance) HER2+ breast cancer,75,0,75,0,0,0,54,0,9157,9180,no_pool,0,54,0,Breast,Breast invasive carcinoma,TMT 16-plex
PDC,PDC000153,40749670,https://pubmed.ncbi.nlm.nih.gov/40749670/,https://pdc.cancer.gov/pdc/study/PDC000153,Integrative analysis of lung adenocarcinoma across diverse ethnicities and exposures,213,0,111,0,102,0,111,102,11000,11022,pool_patients_only,0,38,73,Lung,Lung adenocarcinoma,TMT 10-plex
PDC,PDC000219,40749670,https://pubmed.ncbi.nlm.nih.gov/40749670/,https://pdc.cancer.gov/pdc/study/PDC000219,Integrative analysis of lung adenocarcinoma across diverse ethnicities and exposures,216,0,108,0,108,0,108,108,11183,11200,pool_patients_only,0,59,45,Lung,Lung adenocarcinoma,TMT 10-plex
PDC,PDC000489,40749670,https://pubmed.ncbi.nlm.nih.gov/40749670/,https://pdc.cancer.gov/pdc/study/PDC000489,Integrative analysis of lung adenocarcinoma across diverse ethnicities and exposures,233,0,120,0,113,0,120,113,11371,11407,pool_patients_only,0,47,73,Lung,Lung adenocarcinoma,TMT 11-plex
PDC,PDC000563,40749670,https://pubmed.ncbi.nlm.nih.gov/40749670/,https://pdc.cancer.gov/pdc/study/PDC000563,Integrative analysis of lung adenocarcinoma across diverse ethnicities and exposures,248,0,124,0,124,0,124,124,11677,11712,pool_result_col_only,31,71,53,Lung,Lung adenocarcinoma,TMT 10-plex
