Project_ID,Repository,Organ,Disease,Biospecimen_type,Patients_total,Male,Female,Sex_unknown,Disease_patients,Healthy_or_control,Total_Samples,preCancer,Case_Cancer_Untreated,Case_Cancer_Treated,Control_Healthy,Healthy_treated,Cell_line_samples,Tissue_samples,UniProt_proteins,Ensembl_proteins,PMID,Source
PDC000110,PDC,Ovary; Fallopian tube,HGSOC,Tissue,95,0,87,8,85,23,108,0,0,0,0,0,0,108,8499,8510,32529193,PDC000110_summary.csv
PDC000116,PDC,Colon,COAD,Tissue,101,42,58,1,97,100,197,0,0,0,0,0,0,197,7401,7414,31031003,PDC000116_summary.csv
PDC000118,PDC,Ovary; Fallopian tube,HGSC,Tissue,93,0,87,6,84,19,103,0,0,0,0,0,0,103,8802,8811,32529193,PDC000118_summary.csv
PDC000120,PDC,Breast,Breast invasive carcinoma (BRCA),Tissue,126,0,112,14,125,18,153,0,0,0,0,0,0,153,10465,10486,33212010,PDC000120_summary.csv
PDC000125,PDC,Uterus,Endometrial carcinoma (EC),Tissue,122,0,104,18,103,49,153,0,0,0,0,0,0,153,10740,10760,32059776,PDC000125_summary.csv
PDC000127,PDC,Kidney,ccRCC,Tissue,110,80,30,0,110,84,194,0,0,0,0,0,5,194,9940,9960,31675502,PDC000127_summary.csv
PDC000153,PDC,Lung,Lung adenocarcinoma,Tissue,111,73,38,0,111,102,215,0,0,0,0,0,0,215,11000,11022,40749670,PDC000153_summary.csv
PDC000180,PDC,Brain,Pediatric/AYA Brain Tumors,Tissue,205,115,83,7,205,0,230,0,0,0,0,0,0,230,7144,7152,33242424,PDC000180_summary.csv
PDC000198,PDC,Liver,Hepatocellular carcinoma,Tissue,170,128,32,10,165,165,330,0,0,0,0,0,0,330,10224,10242,31585088,PDC000198_summary.csv
PDC000204,PDC,Brain,Glioblastoma multiforme (GBM),Tissue,110,61,49,0,100,10,110,0,0,0,0,0,0,110,10943,10968,33577785,PDC000204_summary.csv
PDC000219,PDC,Lung,Lung adenocarcinoma,Tissue,108,45,59,4,108,108,432,0,0,0,0,0,0,432,11183,11200,40749670,PDC000219_summary.csv
